,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saiha,90,IN,1562651816,91,22.49,92.98,82.66,7.25
1,Qaanaaq,95,GL,1562651818,89,77.48,-69.36,38.02,2.19
2,Atuona,7,PF,1562651818,74,-9.8,-139.03,80.32,15.48
3,Sarahan,65,IN,1562651819,69,31.51,77.79,71.14,5.35
4,Drochia,97,MD,1562651819,72,48.03,27.81,56.92,4.7
5,Albany,1,US,1562651573,77,42.65,-73.75,66.2,3.36
6,Castro,90,CL,1562651819,100,-42.48,-73.76,50.0,13.87
7,Bredasdorp,6,ZA,1562651820,87,-34.53,20.04,50.0,5.82
8,Rikitea,12,PF,1562651820,85,-23.12,-134.97,72.94,26.11
9,Hobart,75,AU,1562651821,54,-42.88,147.33,55.4,5.82
10,Ushuaia,0,AR,1562651821,93,-54.81,-68.31,35.6,3.36
11,Cidreira,56,BR,1562651822,88,-30.17,-50.22,49.18,3.42
12,Pangai,75,TO,1562651576,88,-19.8,-174.35,75.2,8.05
13,Tiksi,97,RU,1562651556,73,71.64,128.87,58.72,4.5
14,Lebu,99,ET,1562651822,79,8.96,38.73,62.14,3.62
15,Arraial do Cabo,2,BR,1562651823,79,-22.97,-42.02,61.78,9.78
16,Yellowknife,75,CA,1562651823,71,62.45,-114.38,50.0,5.82
17,Avarua,0,CK,1562651824,83,-21.21,-159.78,71.6,4.7
18,Kodiak,1,US,1562651824,53,39.95,-94.76,77.0,8.05
19,Sao Joao da Barra,100,BR,1562651826,73,-21.64,-41.05,61.24,1.1
20,Provideniya,0,RU,1562651826,46,64.42,-173.23,73.4,11.18
21,Fare,24,PF,1562651826,83,-16.7,-151.02,78.34,16.46
22,Punta Arenas,90,CL,1562651827,93,-53.16,-70.91,39.2,4.7
23,Mayo,90,CA,1562651827,33,63.59,-135.9,71.6,6.93
24,Doha,0,QA,1562651589,18,25.29,51.53,105.8,17.22
25,Ardakan,40,IR,1562651828,13,32.31,54.02,96.8,6.93
26,Antofagasta,75,CL,1562651828,76,-23.65,-70.4,57.2,11.41
27,Vestmannaeyjar,48,IS,1562651828,77,63.44,-20.27,51.34,12.44
28,Jamestown,0,AU,1562651829,59,-33.21,138.6,56.2,9.55
